name	x	y
2A	2433	1171
hallway20	2456	1165

2B	2629	1147
hallway21	2614	1147

Physical Therapy	2715	1737
hallway22	2700	1738

Outpatient Psych	2773	2100
hallway23	2771	2072


Inpatient Psych	2807	2072
hallway24	2772	2072

Atrium Elevators 2	2478	1268
hallway25	2515	1216

Hillside Elevators 21	2443	2000
hallway26	2470	2010

Hillside Elevators 22	2590	2000
hallway27	2680	2010

intersection20	2521	1140
intersection21	2615	1142
intersection22	2519	1332
intersection23	2616	1336
intersection24	2617	1361
intersection25	2697	1364
intersection26	2700	2071
intersection27	2469	2067
intersection28	2685	2070

Food Services	2630	1464
hallway28	2677	1464

Matmang	2066	1472
hallway29	2066	1492

Pharm	2082	1556
hallway210	2071	1556

Morgue	2050	1654
hallway211	2070	1654

Censterile	2081	1692
hallway212	2010	1692

Bio Engineering	2086	1900
hallway213	2070	1900

Hazard Storage	2232	1968
hallway214	2232	1984

Security	2352	1968
hallway215	2352	1982

Censtrlsup	2504	1868
hallway216	2504	1984
hallway223	2670	1741

Laundry	2366	1614
hallway217	2366	1658

OT	2692	1852
hallway218	2679	1852

HSKPG	2694	1806
hallway219	2679	1806

Facilities	2056	1864
hallway220	2069	1864

Mail	2578	1780
hallway221	2578	1754

Mech	1992	1986
hallway222	2029	1986

SuitesIntersection20	2672	1341
SuitesIntersection21	2672	1979
SuitesIntersection22	2068	1987
SuitesIntersection23	2068	1485
SuitesIntersection24	2602	1341
SuitesIntersection25	2602	1315
CenstrlsupInternal	2496	1600
