name	x	y
Pain Management Center - 2570 - 2080
hallway70 - 2570 - 2065

Human Resources - 2500 - 1825
hallway71 - 2520 - 1825

Hillside Elevators 1 - 2443 - 2000
hallway72 - 2480 - 2010

intersection71 - 1660 - 2060
intersection72 - 1770 - 2060
intersection73 - 2164 - 2060
intersection74 - 2276 - 2060
intersection75 - 2477 - 2060
intersection76 - 2570 - 2060
intersection77 - 2810 - 2060
intersection78 - 3309 - 2060
intersection79 - 1664 - 1990
intersection710 - 1770 - 1990
intersection711 - 2165 - 1990
intersection712 - 2274 - 1990
intersection713 - 2813 - 1990
intersection714 - 3300 - 1990
intersection715 - 2470 - 1960
intersection716 - 2563 - 1960
intersection717 - 2520 - 1960
